Timestamp,Clase_YAMNet,Probabilidad,loudness_sones,sharpness_acum,roughness_asper,tonality_tnr_db,tonality_pr_db
0.0,Vehicle,0.1334691196680069,11.861,1.7199999452628059,0.23493191640151864,0.0,0.0
3.0,"Boat, Water vehicle",0.16437537968158722,13.048,2.0006646902592027,0.08091068849888551,0.0,0.0
6.0,Vehicle,0.35390356183052063,15.24,2.133791159230489,0.082458884290801,0.0,0.0
9.0,Vehicle,0.3247523009777069,17.15,1.6942109865778345,0.07079969756720393,0.0,0.0
12.0,Vehicle,0.3385620415210724,19.11,1.7472407370273288,0.16266713437438424,0.0,0.0
15.0,Wind,0.21771259605884552,16.47,1.8930346942430027,0.13378420113302375,0.0,0.0
18.0,Vehicle,0.1880520135164261,16.97,1.951777939990804,0.14653864240989517,0.0,0.0
21.0,Animal,0.2236930876970291,17.16,1.7114824844591505,0.14208403036444064,0.0,0.0
24.0,Wind,0.3659404218196869,17.02,1.9500762275505341,0.09260020865811326,0.0,0.0
27.0,Vehicle,0.24873299896717072,20.71,1.688446073116811,0.08842750248714405,0.0,0.0
30.0,Vehicle,0.3835643529891968,23.34,1.557131790874843,0.07698983249291032,0.0,0.0
33.0,Speech,0.31235942244529724,15.634,1.8222775245571974,0.13782080809963673,0.0,0.0
36.0,Speech,0.36095166206359863,21.08,1.939689075872013,0.11922013813254825,0.0,0.0
39.0,Speech,0.35449978709220886,18.88,2.022640273852174,0.09918224637272696,0.0,0.0
42.0,Speech,0.3556993007659912,19.07,1.9936880246379112,0.11758680482004288,0.0,0.0
45.0,Speech,0.1913406252861023,24.15,1.9621683684620101,0.06110940494603923,0.0,0.0
48.0,Speech,0.34841394424438477,17.39,2.020080182386815,0.137600195102506,0.0,0.0
51.0,Wind,0.30627015233039856,16.16,2.066637693152888,0.0983516431657029,0.0,0.0
54.0,Vehicle,0.3494872748851776,26.21,1.822220087193495,0.07600944103018377,0.0,0.0
57.0,Wind,0.2994215190410614,21.62,1.8534306620394962,0.08917927853947812,0.0,0.0
60.0,Vehicle,0.26602697372436523,15.977,1.8096305636558052,0.1391546559450569,0.0,0.0
63.0,Dog,0.25890052318573,17.28,1.4852889991889975,0.049931025959917705,0.0,0.0
66.0,Vehicle,0.16794924437999725,15.751,1.6595845441759838,0.062353161153959336,0.0,0.0
69.0,Vehicle,0.30530932545661926,23.98,1.646163263942037,0.07535338382390239,0.0,0.0
72.0,Speech,0.10604243725538254,15.823,1.8997649132919832,0.1004520570607593,0.0,0.0
75.0,"Outside, rural or natural",0.19109076261520386,11.18,1.7077331874515207,0.06992521632282353,0.0,0.0
78.0,Vehicle,0.33916351199150085,27.21,1.6308678353926478,0.0693722197791254,0.0,0.0
81.0,Vehicle,0.2063813954591751,17.06,1.639882534230221,0.07628001941142089,0.0,0.0
84.0,Dog,0.235251784324646,21.08,1.70419559428903,0.07914429809963047,0.0,0.0
87.0,Bow-wow,0.19620226323604584,16.11,1.7408892052702407,0.0694416746884339,0.0,0.0
90.0,Bow-wow,0.1502382606267929,22.29,1.6927825527216065,0.09295907932330605,0.0,0.0
93.0,Speech,0.11070483922958374,18.95,2.0171338374011296,0.09749385130066694,0.0,0.0
96.0,Animal,0.11106692999601364,21.96,2.1869750218918935,0.07865149437567973,0.0,0.0
99.0,Ocean,0.2661290466785431,15.412,3.240288903438179,0.10417897900187745,0.0,30.776850923830658
102.0,Ocean,0.2565970718860626,23.38,1.6307375380220968,0.08571114618834186,0.0,0.0
105.0,Wind,0.2215697318315506,15.64,1.852061964272687,0.07047457310073642,0.0,0.0
108.0,Wind,0.1365315020084381,13.598,1.8662427290944243,0.06990579443169548,0.0,0.0
111.0,Speech,0.1651027947664261,15.135,1.563135633589331,0.2064737701503347,0.0,0.0
114.0,Vehicle,0.2854040265083313,17.3,1.6464085419980206,0.06670897754576822,0.0,0.0
117.0,Vehicle,0.247336745262146,23.32,1.7361599264280432,0.05781284519748926,0.0,0.0
120.0,Wind,0.36098673939704895,18.58,1.811480453453883,0.05503684453544404,0.0,0.0
123.0,"Boat, Water vehicle",0.19120723009109497,25.2,1.738399093441476,0.06033662929267711,0.0,0.0
126.0,Vehicle,0.3779010772705078,24.44,1.7182220247001634,0.0543981851035719,0.0,0.0
129.0,Ocean,0.40010643005371094,19.1,1.950730693072335,0.07499398876165929,0.0,0.0
132.0,Vehicle,0.22792094945907593,25.37,1.8846373501745524,0.06362742026179817,0.0,0.0
135.0,"Outside, rural or natural",0.1545340120792389,13.218,1.854194770810041,0.09426377778899094,0.0,0.0
138.0,Dog,0.1779601126909256,16.86,1.563350379462136,0.06333671890153593,0.0,0.0
141.0,"Boat, Water vehicle",0.33587273955345154,20.11,1.7911087156579835,0.0795656023992807,0.0,0.0
144.0,Wind,0.5646479725837708,14.61,1.7998325781302147,0.05808360424617396,0.0,0.0
147.0,Speech,0.24149274826049805,19.93,1.6228270196190524,0.07327612378082435,0.0,0.0
150.0,Vehicle,0.42055872082710266,20.97,1.290741809907075,0.055640209562578265,0.0,0.0
153.0,Vehicle,0.16712923347949982,12.805,1.2542969798883543,0.08047470290700398,0.0,0.0
156.0,Vehicle,0.36083006858825684,20.97,1.5953705496229977,0.06578604285168402,0.0,0.0
159.0,Wind,0.39438843727111816,18.43,1.415904998825027,0.06086387745789863,0.0,0.0
162.0,Wind,0.21117906272411346,22.75,1.511599041315929,0.09233637608155074,0.0,0.0
165.0,Wind,0.36769768595695496,16.11,1.352564786003893,0.10006317976184151,0.0,0.0
168.0,Wind,0.36646366119384766,17.78,1.3299178239214984,0.1205688726941838,0.0,0.0
171.0,Wind,0.2495768666267395,18.82,1.3108102980493166,0.08801290106778017,0.0,0.0
174.0,Wind,0.3816866874694824,12.689,1.1681931142299846,0.137324876210063,0.0,0.0
177.0,Vehicle,0.19825321435928345,15.515,1.7857099620032826,0.0973149732668908,0.0,0.0
180.0,Wind,0.45204803347587585,13.278,1.7247596558876352,0.11551603720739953,0.0,0.0
183.0,Wind,0.34290456771850586,13.38,1.5479139824624606,0.18051949276429943,0.0,0.0
186.0,Wind,0.3663724660873413,13.773,1.3222004975709032,0.16021472611710938,0.0,0.0
189.0,Vehicle,0.20347893238067627,13.962,1.4990993438201299,0.10849526618803826,0.0,0.0
192.0,Vehicle,0.36583593487739563,17.23,1.5058432904121826,0.08006066593487651,0.0,0.0
195.0,Vehicle,0.5513676404953003,21.18,1.416730911929704,0.05058755434319179,0.0,0.0
198.0,Vehicle,0.5373579859733582,22.94,1.3575416691994144,0.05802208608387492,0.0,0.0
201.0,Vehicle,0.4015465974807739,22.97,1.551310816574724,0.06263420042957012,0.0,0.0
204.0,Vehicle,0.35461869835853577,24.73,1.525507550157625,0.07106950880766079,0.0,0.0
207.0,Vehicle,0.34357306361198425,26.3,1.6038002832820402,0.06116710731266404,0.0,0.0
210.0,Vehicle,0.3274937570095062,21.07,1.5019501337273733,0.0543883297368789,0.0,0.0
213.0,Vehicle,0.3617054224014282,18.33,1.2160810913296192,0.06012081352675998,0.0,0.0
216.0,Vehicle,0.49155953526496887,23.16,1.3339659941041855,0.04734977571968882,0.0,0.0
219.0,Vehicle,0.6457747220993042,23.49,1.3667475835078322,0.050566649871210116,0.0,0.0
222.0,Vehicle,0.42144933342933655,17.67,1.2846338940985698,0.05801598352130427,0.0,0.0
225.0,Vehicle,0.1397877186536789,14.762,1.2015266498778436,0.17524974182360598,0.0,0.0
228.0,Vehicle,0.5829852819442749,18.85,1.414587596191819,0.06080917778990629,0.0,0.0
231.0,"Boat, Water vehicle",0.3387335538864136,15.219,1.4768079700663237,0.060684477627047706,0.0,0.0
234.0,"Boat, Water vehicle",0.23018963634967804,17.95,1.4565102668985916,0.07159539076268089,0.0,0.0
237.0,Wind,0.223801851272583,13.335,1.489877936200577,0.07832223835517267,0.0,0.0
240.0,"Boat, Water vehicle",0.23935897648334503,14.753,1.5028383702183192,0.0723038010982759,0.0,0.0
243.0,Vehicle,0.190681591629982,19.88,1.7278642101315969,0.06743074514865478,0.0,0.0
246.0,Wind,0.25198572874069214,17.61,1.842130446322107,0.07946238048122613,0.0,0.0
249.0,Vehicle,0.13497941195964813,17.35,2.0776752595470627,0.10484972570204527,0.0,0.0
252.0,"Outside, rural or natural",0.1646716147661209,17.51,2.259363268353886,0.23026468623222957,0.0,0.0
255.0,Vehicle,0.27966704964637756,17.84,1.8875978711225807,0.09577285374284544,0.0,0.0
