Timestamp,Clase_YAMNet,Probabilidad,TopIndex,loudness_sones,sharpness_acum,roughness_asper,tonality_tnr_db,tonality_pr_db
0.0,Wind,0.41725409030914307,277,16.69,1.3455210193273188,0.05960888168977329,0.0,0.0
3.0,Wind,0.37120553851127625,277,12.464,1.4161065376619313,0.10890068266103517,0.0,0.0
6.0,Vehicle,0.28184375166893005,294,17.04,1.2174552214552032,0.4188358512104013,0.0,0.0
9.0,Wind,0.5358065962791443,277,21.4,1.0901234873768793,0.3925883256469451,0.0,0.0
12.0,Wind,0.5464193224906921,277,15.773,1.237784354268471,0.19211471108825806,0.0,0.0
15.0,Vehicle,0.30101248621940613,294,18.13,1.5258745481082596,0.23485080607375483,0.0,0.0
18.0,Vehicle,0.18120281398296356,294,12.524,1.4618410459092346,0.19416030510739044,0.0,0.0
21.0,Vehicle,0.25844812393188477,294,12.933,1.2925869142512227,0.2056470580231487,0.0,0.0
24.0,Wind,0.4966607093811035,277,13.484,1.1060828576174442,0.18414468864731065,0.0,0.0
27.0,Wind,0.616131603717804,277,15.559,1.1047220756345446,0.3158679731944634,0.0,0.0
30.0,Wind,0.2832392752170563,277,15.129,1.3817977676683038,0.16349691645570955,0.0,0.0
33.0,Vehicle,0.3683634102344513,294,17.32,1.3719699113109185,0.14362815738754983,0.0,0.0
36.0,Vehicle,0.3136585056781769,294,17.91,1.4894619388680752,0.5795055809460326,0.0,0.0
39.0,Vehicle,0.7569802403450012,294,19.05,1.3182540906385696,0.24091146655385334,0.0,0.0
42.0,Vehicle,0.2971101403236389,294,15.897,1.255031676913384,0.12053162496177076,0.0,0.0
45.0,Vehicle,0.2565615475177765,294,14.069,1.2934009073441108,0.14365236613884697,0.0,0.0
48.0,Vehicle,0.3288857042789459,294,15.302,1.3240600048975457,0.1769991040569593,0.0,0.0
51.0,Vehicle,0.20437617599964142,294,17.34,1.4652852333197468,0.13138032196094035,0.0,0.0
54.0,Vehicle,0.6118190884590149,294,18.39,1.2798995443086234,0.20564519825860098,0.0,0.0
57.0,Vehicle,0.6403430104255676,294,22.84,1.3960713036359145,0.13528923652457503,0.0,0.0
60.0,Vehicle,0.6245370507240295,294,18.43,1.4089573455825435,0.136235092141792,0.0,0.0
63.0,Vehicle,0.2721705734729767,294,15.171,1.2445228537864106,0.3913485113643414,0.0,0.0
66.0,Vehicle,0.25610649585723877,294,14.545,1.3194019233420284,0.3895934404574726,0.0,0.0
69.0,Vehicle,0.2985098659992218,294,17.49,1.4094847459837625,0.27922521099307285,0.0,0.0
72.0,Vehicle,0.673210620880127,294,23.06,1.359538137051052,0.46062756099030483,0.0,0.0
75.0,Vehicle,0.6913304924964905,294,22.98,1.2045724998825698,0.4219468438824013,0.0,0.0
78.0,Vehicle,0.4161284863948822,294,19.05,1.096384292699639,0.5095205943431895,0.0,0.0
81.0,Vehicle,0.24401943385601044,294,16.44,1.0592987471447204,0.35484362317053414,0.0,0.0
84.0,Vehicle,0.44094720482826233,294,15.25,1.49963074916565,0.41774083649008587,0.0,0.0
87.0,Vehicle,0.7036147117614746,294,17.41,1.4575043884292365,0.11833774523567288,0.0,0.0
90.0,Vehicle,0.738757848739624,294,25.11,1.7090259018517393,0.11657308293168343,0.0,0.0
93.0,Vehicle,0.4141700267791748,294,17.96,1.3898018999544957,0.3253227096802449,0.0,0.0
96.0,Vehicle,0.47230684757232666,294,18.65,1.3838709576071657,0.43069621762489635,0.0,0.0
99.0,Vehicle,0.5634583234786987,294,19.2,1.426088848566678,0.27170022888162915,0.0,0.0
102.0,Vehicle,0.2461850792169571,294,18.71,1.5146508923911421,0.3419306591360443,0.0,0.0
105.0,Clip-clop,0.24425983428955078,83,19.21,1.4422048938637344,0.27929518326461633,0.0,0.0
108.0,Vehicle,0.43130195140838623,294,18.63,1.38628797127393,0.260255774078877,0.0,0.0
111.0,Vehicle,0.39067307114601135,294,19.94,1.4030338308436765,0.12163813872823527,0.0,0.0
114.0,Vehicle,0.3753080666065216,294,17.13,1.480829314714873,0.37327360065956383,0.0,0.0
117.0,Vehicle,0.641447126865387,294,17.5,1.2983104563105652,0.21587133272570846,0.0,0.0
120.0,Vehicle,0.5025801658630371,294,21.92,1.435190934332706,0.15241319129456257,0.0,0.0
123.0,Vehicle,0.7921323180198669,294,21.06,1.3258698674809992,0.06953979115551304,0.0,0.0
126.0,Vehicle,0.4508001506328583,294,18.06,1.4357333089948425,0.36495048017774195,0.0,0.0
129.0,Vehicle,0.29083091020584106,294,15.523,1.4625094674467374,0.5394995118614357,0.0,0.0
132.0,Vehicle,0.37442803382873535,294,16.06,1.5107142373218643,0.4725360557434109,0.0,0.0
135.0,Music,0.16994695365428925,132,25.14,1.7098471701417095,0.1692030825709505,0.0,0.0
138.0,Vehicle,0.6515942215919495,294,19.16,1.4104314162179064,0.29144771287130267,0.0,0.0
141.0,Vehicle,0.22999636828899384,294,17.54,1.394926421019492,0.3855369111277356,0.0,0.0
144.0,Vehicle,0.2481430321931839,294,14.278,1.4250794390616184,0.6092281711586991,0.0,0.0
147.0,Vehicle,0.1526370495557785,294,14.525,1.4507795720473582,0.5219474536652785,0.0,0.0
150.0,Vehicle,0.10388598591089249,294,12.512,1.2360484632538418,0.5712924742430943,0.0,0.0
153.0,Vehicle,0.29549747705459595,294,16.3,1.0301561592113766,0.41760954521431876,0.0,0.0
156.0,Vehicle,0.37848639488220215,294,17.06,1.343146744710906,0.2577174423351956,0.0,0.0
159.0,Vehicle,0.6455753445625305,294,24.08,1.4020355220948322,0.13628198775614175,0.0,0.0
162.0,Emergency vehicle,0.7695474028587341,316,25.45,1.3238192401583313,0.09151566506887117,0.0,0.0
165.0,Vehicle,0.38692522048950195,294,19.43,1.3935014625849391,0.1595587815186027,0.0,0.0
168.0,Emergency vehicle,0.5377922654151917,316,19.63,1.3616247931453256,0.10379922699399764,0.0,0.0
171.0,Horse,0.3748358190059662,82,17.23,1.2007841253457563,0.26629995521532435,0.0,0.0
174.0,Vehicle,0.4479365050792694,294,21.16,1.3239748406514942,0.15908561275545818,0.0,0.0
177.0,Vehicle,0.22153031826019287,294,21.43,1.3847286507952317,0.18417040058860698,0.0,0.0
180.0,Vehicle,0.331725537776947,294,17.6,1.3826025027077964,0.23432199861130334,0.0,10.097735065184168
183.0,Vehicle,0.4336559474468231,294,16.96,1.3297736800859692,0.18495623881240708,0.0,0.0
186.0,Vehicle,0.5671008229255676,294,16.55,1.301435812362601,0.13884889249631888,0.0,0.0
189.0,Vehicle,0.4958677589893341,294,18.9,1.4253279633712652,0.13894531025595105,0.0,0.0
192.0,Vehicle,0.27748286724090576,294,15.987,1.414432072555557,0.08550271048301256,0.0,0.0
195.0,Vehicle,0.21526427567005157,294,17.44,1.3219824874906885,0.1575409507931343,0.0,0.0
198.0,Vehicle,0.4742276668548584,294,20.49,1.468661745582804,0.1066586252655523,0.0,0.0
201.0,Vehicle,0.4852766692638397,294,21.28,1.5238992255971227,0.13436933295794054,0.0,0.0
204.0,Vehicle,0.3280550539493561,294,20.14,1.5215002019868429,0.18727373391014154,0.0,0.0
207.0,Vehicle,0.22935335338115692,294,16.71,1.400913580603154,0.20660629175637948,0.0,0.0
210.0,Vehicle,0.22813616693019867,294,18.87,1.5368493701433772,0.26838735565331623,0.0,0.0
213.0,Vehicle,0.3529658019542694,294,17.82,1.3681429707891948,0.2435619616539265,0.0,0.0
216.0,Vehicle,0.2568609118461609,294,18.45,1.3860051019186825,0.2849378108872782,0.0,0.0
219.0,Vehicle,0.27471885085105896,294,17.65,1.3333365968494704,0.4547426227035933,0.0,0.0
222.0,Vehicle,0.650844931602478,294,18.41,1.3343823852971957,0.16162041214737757,0.0,0.0
225.0,Vehicle,0.28266993165016174,294,16.9,1.2206284263393867,0.15609598939045316,0.0,0.0
228.0,Vehicle,0.23003868758678436,294,18.51,1.3790722476608608,0.21757339209349916,0.0,0.0
231.0,"Boat, Water vehicle",0.3891245424747467,295,14.854,1.1406642585902247,0.18572552334077735,0.0,0.0
234.0,Vehicle,0.2867799401283264,294,14.9,1.1526851545458898,0.1932142424227366,0.0,0.0
237.0,Vehicle,0.2769266366958618,294,14.797,1.2713485112077736,0.4613144765250948,0.0,0.0
240.0,Vehicle,0.3850992023944855,294,16.18,1.174804231703655,0.5260423257624887,0.0,0.0
243.0,Vehicle,0.3213426172733307,294,16.19,1.3100267533912195,0.3470341972167869,0.0,0.0
246.0,Vehicle,0.20733356475830078,294,17.0,1.1046534293833026,0.2300344069112968,0.0,0.0
249.0,Wind,0.5360568761825562,277,16.44,1.3177423880653156,0.30016540710328654,0.0,0.0
252.0,Wind,0.3681463301181793,277,19.29,1.2599177487553297,0.2610922864989749,0.0,12.087696884322952
255.0,Wind,0.27812665700912476,277,15.709,1.0790261388269966,0.12952141585823596,0.0,0.0
